G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,YEAR,Made_Tournament,CONF_A10,CONF_ACC,CONF_AE,CONF_ASun,CONF_Amer,CONF_B10,CONF_B12,CONF_BE,CONF_BSky,CONF_BSth,CONF_BW,CONF_CAA,CONF_CUSA,CONF_Horz,CONF_Ivy,CONF_MAAC,CONF_MAC,CONF_MEAC,CONF_MVC,CONF_MWC,CONF_NEC,CONF_OVC,CONF_P12,CONF_Pat,CONF_SB,CONF_SC,CONF_SEC,CONF_SWAC,CONF_Slnd,CONF_Sum,CONF_WAC,CONF_WCC
1.0,0.9552238805970149,1.0,0.25552486187845336,0.9775269044102131,0.6375000000000002,0.3263888888888897,0.19095477386934667,0.48611111111111116,1.0,0.5575153374233128,0.4123314065510597,0.2975778546712802,0.7556818181818179,0.2029411764705884,0.3682432432432434,0.6093750000000004,0.6736111111111116,0.9184782608695653,0.0,Made Tournament,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.0,1.0,1.0,0.14502762430939287,0.9956741928676935,0.8562500000000002,0.2291666666666674,0.2814070351758795,0.7083333333333335,0.4675925925925928,0.5207055214723926,0.4816955684007709,0.2837370242214532,0.9545454545454546,0.17352941176470615,0.6047297297297298,0.42968749999999956,0.3263888888888893,0.9266304347826088,0.0,Made Tournament,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.875,0.6865671641791045,0.8909574468085109,0.4875690607734806,0.8443764507280016,0.7250000000000001,0.4236111111111116,0.18090452261306544,0.1712962962962965,0.675925925925926,0.6863496932515338,0.4354527938342967,0.1453287197231833,0.6988636363636362,0.3147058823529414,0.685810810810811,0.6640625,0.24305555555555536,0.7472826086956522,0.0,Made Tournament,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.958333333333333,0.835820895522388,0.9335106382978728,0.1477900552486191,0.9848069212914117,0.7749999999999999,0.34722222222222276,0.16080402010050254,0.5416666666666667,0.5462962962962963,0.263036809815951,0.40462427745664753,0.4013840830449824,0.6818181818181817,0.30294117647058805,0.8817567567567566,0.4921875,0.0,0.9184782608695653,0.0,Made Tournament,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.958333333333333,0.9253731343283582,0.960106382978724,0.13121546961325992,0.9913483857353871,0.8312500000000003,0.11805555555555625,0.4321608040201006,0.5138888888888888,0.6527777777777779,0.42868098159509205,0.6551059730250484,0.5363321799307956,0.6875,0.13235294117647056,0.9493243243243241,0.32031249999999956,0.5625,1.0,0.0,Made Tournament,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.958333333333333,0.8656716417910448,0.8936170212765964,0.29143646408839796,0.9387001477104874,0.6187499999999999,0.3819444444444451,0.2613065326633166,0.6712962962962963,0.7407407407407409,0.5881901840490797,0.7206165703275531,0.3529411764705881,0.6818181818181817,0.2911764705882356,0.4831081081081079,0.6093750000000004,0.4861111111111116,0.8668478260869565,0.0,Made Tournament,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.958333333333333,0.6567164179104478,0.7207446808510642,0.2196132596685083,0.9064148554547373,0.4750000000000001,0.2708333333333339,0.46231155778894495,0.6898148148148147,0.712962962962963,0.8826687116564411,0.531791907514451,0.2145328719723183,0.375,0.40882352941176503,0.5912162162162162,0.17968749999999956,0.24305555555555536,0.6766304347826088,0.0,Made Tournament,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.958333333333333,0.835820895522388,0.8882978723404258,0.23342541436464082,0.9558978687486811,0.7437499999999999,0.2638888888888897,0.48241206030150763,0.4398148148148149,0.6064814814814816,0.5881901840490797,0.4393063583815029,0.22491349480968847,0.43181818181818166,0.24411764705882355,1.0,0.4140625,0.6111111111111116,0.9021739130434783,0.0,Made Tournament,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.5416666666666665,0.5373134328358209,0.75,0.5621546961325965,0.685904199198143,0.6000000000000001,0.5972222222222228,0.07035175879396971,0.26388888888888906,0.3148148148148149,0.60659509202454,0.4123314065510597,0.3044982698961938,0.5965909090909092,0.6500000000000004,0.5574324324324325,0.46093749999999956,0.645833333333333,0.6277173913043479,0.0,No Tournament,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.625,0.44776119402985076,0.6223404255319149,0.5372928176795577,0.5892593374129562,0.71875,0.41666666666666696,0.5427135678391959,0.24537037037037046,0.4537037037037037,0.45935582822085896,0.4624277456647401,0.5813148788927334,0.7102272727272725,0.09705882352941186,0.631756756756757,0.9218750000000009,0.8055555555555554,0.47282608695652173,0.0,No Tournament,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.375,0.44776119402985076,0.4521276595744679,0.4074585635359118,0.5404093690652035,0.5687500000000001,0.5555555555555558,0.693467336683417,0.875,0.5694444444444444,0.3673312883435582,0.4624277456647401,0.6470588235294115,0.6022727272727271,0.6558823529411764,0.49662162162162193,0.39062499999999956,0.38194444444444464,0.5217391304347827,0.0,No Tournament,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.5416666666666665,0.2985074626865672,0.4414893617021276,0.48204419889502725,0.447457269466132,0.16875000000000018,0.34722222222222276,0.512562814070352,0.0,0.712962962962963,0.11579754601227021,0.49325626204238926,0.2837370242214532,0.28977272727272707,0.28529411764705914,0.1317567567567568,0.5390624999999996,0.45833333333333304,0.3695652173913044,0.0,No Tournament,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
